asn,cone_asns,cone_prefixes,cone_addresses
33915,12,67,1136640
4771,3,282,1135616
17430,1,100,1134592
12252,7,323,1133568
17622,5,272,1130752
10036,3,623,1124096
15003,1,585,1116672
43234,1,7,1114112
6697,42,396,1113344
8437,85,258,1112320
22645,42,143,1107968
1653,28,109,1104384
72,1,183,1102336
45430,56,1288,1100544
31898,1,107,1097728
8426,29,201,1095936
23816,12,151,1089536
56048,10,139,1087232
30986,6,76,1085952
567,22,134,1082624
7792,1,48,1075712
11232,45,358,1073920
11492,9,2018,1071360
26496,2,769,1070080
6621,4,474,1059072
51207,1,3,1058816
46690,1,19,1056000
9506,3,139,1048064
25184,84,595,1047808
11172,72,1407,1044224
14754,28,232,1039360
12338,13,67,1038592
1741,10,41,1037056
8717,187,1487,1030912
29208,132,294,1025536
2611,14,52,1020928
808,1,53,1016576
4694,10,198,1015808
205647,68,688,1011968
1290,9,36,1010688
7016,86,319,1009664
10430,18,90,1008640
19050,8,134,1008128
15029,9,134,1008128
44034,1,10,1007616
33287,114,241,1007360
2386,8,805,1000448
17429,1,58,999424
13194,87,425,995840
4775,107,1064,993280
132602,298,2385,991744
7482,2,98,989696
15772,213,602,988928
637,1,300,986368
36998,1,61,984064
9370,9,133,982784
271,13,138,982272
7632,46,509,979200
8767,76,264,978432
14654,1,249,974848
19429,12,422,967936
15895,68,121,965120
5972,1,1126,964096
14259,69,1198,963328
15399,18,517,961792
1955,12,24,961280
22742,18,187,960768
9919,6,582,960768
9790,86,473,956160
46786,106,570,950528
6429,44,354,948736
5413,19,148,948224
9354,13,239,946432
17488,2,1129,945152
3329,39,289,945152
4795,12,303,939008
36926,3,50,937984
20080,26,396,937984
5408,23,62,933376
1906,1,74,932096
37287,3,58,927488
3633,1,26,921088
10913,87,336,920832
23106,284,1698,920576
7670,21,136,919552
8866,139,1224,914944
37027,21,237,912896
58224,11,381,911616
29075,203,647,910848
7065,10,162,909056
9930,54,279,905984
47377,8,42,905216
34769,7,38,905216
14265,65,586,902144
20473,192,1311,900864
4862,7,102,900864
7679,10,72,898560
34164,2,151,890624
50952,195,893,888064
55794,33,421,887296
24086,1,461,886784
2379,3,134,883712
262206,87,2118,877568
12129,63,449,876544
1538,2,97,874496
8501,65,179,873216
7795,65,337,870144
40300,51,401,866304
55831,1,152,865024
11556,27,384,864512
40676,49,857,863488
25229,57,421,863232
45820,164,1873,857856
201054,422,1068,857600
8897,6,63,855552
29562,6,73,854784
35297,235,789,851200
12670,36,222,849664
1554,15,125,846080
12301,56,250,845312
33668,81,258,844288
55644,91,1370,842240
4685,1,33,839680
6535,1,72,838656
17072,35,1467,837376
39651,3,9,836096
6400,6,125,834048
26554,128,518,833536
47872,98,500,830208
7162,53,439,829952
39891,1,3522,829440
8473,62,278,827392
5390,1,7,827392
38285,6,1162,820992
25933,234,1337,814848
3676,13,51,813056
3737,21,201,812288
157,1,50,807936
56044,1,146,806656
7430,6,86,806400
9395,1,42,804864
33132,109,569,802304
15480,1,8,801280
